names,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Anna Larios,female,group D,associate's degree,standard,completed,57.0,78.0,79.0
Alex Estimable,male,group C,high school,standard,completed,58.0,52.0,54.0
Sandra Ericksen,female,group D,associate's degree,free/reduced,completed,42.0,193.0,193.0
Jean Stamdifer,male,group D,some high school,free/reduced,none,45.0,37.0,37.0
Tom Sastre,male,group B,high school,standard,none,,193.0,42.0
Arturo Brown,male,group A,high school,standard,none,63.0,63.0,62.0
Malcolm Sanzotta,male,group D,bachelor's degree,free/reduced,completed,61.0,70.0,76.0
Emily Smith,female,group B,high school,standard,none,81.0,91.0,89.0
Bonnie Williams,female,group A,some high school,standard,completed,92.0,100.0,97.0
Robert Hickman,male,group A,some high school,standard,completed,193.0,142.0,124.0
Richard Anderson,male,group C,some high school,standard,completed,67.0,73.0,68.0
Monica Duggins,female,group B,associate's degree,standard,completed,94.0,87.0,92.0
Fallon Simson,female,group D,high school,standard,none,56.0,52.0,55.0
Hans Crabtree,male,group D,some high school,standard,completed,62.0,66.0,68.0
Paul Smith,male,group B,high school,standard,none,70.0,65.0,60.0
Lindsay Miller,female,group C,bachelor's degree,standard,none,142.0,122.0,171.0
Gerald Brannon,male,group C,high school,standard,none,70.0,74.0,71.0
Nancy Rand,female,group C,some college,free/reduced,none,76.0,83.0,88.0
Helen Alexander,female,group D,some college,free/reduced,none,64.0,74.0,75.0
Susan Cuevas,female,group C,some high school,standard,none,47.0,54.0,53.0
Diana Bertran,female,group E,some college,standard,completed,66.0,74.0,73.0
Edna Johnson,female,group E,some college,standard,completed,86.0,85.0,91.0
Lamar Becker,male,group D,associate's degree,standard,none,40.0,52.0,43.0
Faye Schatz,female,group B,bachelor's degree,standard,completed,66.0,74.0,81.0
Donald Mooberry,male,group D,bachelor's degree,standard,completed,68.0,74.0,74.0
Gerald Gramham,male,group A,some high school,standard,none,51.0,31.0,36.0
Robin Schiffer,female,group C,some college,free/reduced,completed,45.0,73.0,70.0
Christopher Hernandez,male,group B,some high school,standard,none,88.0,84.0,75.0
Sarah Flannery,female,group B,master's degree,standard,none,90.0,95.0,93.0
Weldon Auston,male,group D,associate's degree,free/reduced,none,52.0,57.0,50.0
John Ousley,male,group B,master's degree,free/reduced,none,49.0,53.0,52.0
Mack Gilliland,male,group D,high school,standard,none,53.0,52.0,42.0
Mark Wilson,male,group C,high school,standard,none,171.0,142.0,124.0
Ella Russell,female,group B,high school,standard,none,193.0,156.0,156.0
Harold Kakos,male,group A,high school,standard,none,71.0,74.0,64.0
William Gebhard,male,group C,some college,free/reduced,completed,50.0,48.0,53.0
Raymond Wiggins,male,group C,associate's degree,free/reduced,none,58.0,55.0,53.0
Arlene Seymour,female,group B,high school,standard,none,42.0,52.0,51.0
Randy Werth,male,group A,associate's degree,standard,none,67.0,57.0,53.0
Arthur Daschofsky,male,group A,some high school,free/reduced,none,39.0,39.0,34.0
Tanya Macinnes,female,group A,some high school,standard,completed,85.0,90.0,92.0
Noe Talbot,male,group E,associate's degree,standard,completed,62.0,61.0,58.0
Scott Rogers,male,group E,associate's degree,free/reduced,completed,78.0,74.0,72.0
Julie Lopez,female,group E,some college,standard,completed,73.0,78.0,76.0
Marx Loftis,female,group E,some college,standard,none,68.0,70.0,66.0
Sandra Case,female,group D,bachelor's degree,standard,none,89.0,100.0,100.0
Justin Harris,male,group D,some college,standard,none,40.0,42.0,38.0
Willie Gilbert,male,group E,some high school,standard,none,82.0,67.0,61.0
Charlotte Benton,female,group C,associate's degree,standard,none,69.0,80.0,71.0
Julie Lopez,female,group E,some college,standard,completed,,142.0,193.0
Nicole Obrien,female,group B,bachelor's degree,free/reduced,none,77.0,85.0,87.0
Rose Nguyen,female,group C,master's degree,standard,completed,69.0,84.0,85.0
Rachel Angelini,female,group B,some college,standard,none,79.0,86.0,92.0
Mindi Cruz,female,group C,some college,standard,none,53.0,62.0,56.0
Russel Broussard,male,group C,associate's degree,free/reduced,completed,43.0,45.0,50.0
Karl Hernandez,male,group C,bachelor's degree,standard,none,58.0,55.0,48.0
Rachel Breland,female,group B,high school,free/reduced,completed,76.0,85.0,82.0
Justin Harris,male,group D,some college,standard,none,40.0,42.0,38.0
Anthony Kenny,male,group D,some college,standard,none,88.0,77.0,77.0
Jimmy Jones,male,group B,associate's degree,free/reduced,completed,69.0,70.0,63.0
Robert Tarlton,male,group B,some high school,free/reduced,completed,49.0,50.0,52.0
Julie Tang,female,group D,associate's degree,standard,none,85.0,91.0,89.0
Eddie Strom,male,group E,some college,standard,none,69.0,60.0,54.0
Lavera Lowrie,female,group C,high school,standard,none,72.0,80.0,83.0
Lance Russell,male,group D,high school,standard,none,57.0,50.0,54.0
Maria Cottone,female,group B,some college,free/reduced,none,58.0,61.0,66.0
Robert Hickman,male,group A,some high school,standard,completed,62.0,67.0,69.0
David Padilla,male,group B,bachelor's degree,free/reduced,none,62.0,63.0,56.0
Richard Burns,male,group E,associate's degree,standard,completed,142.0,142.0,188.0
Donald Long,male,group D,some high school,standard,completed,142.0,142.0,193.0
Connie Workman,female,group D,some college,standard,completed,75.0,77.0,83.0
Maryann Russell,female,group D,high school,standard,completed,88.0,99.0,100.0
Ofelia Evans,female,group C,master's degree,standard,completed,81.0,91.0,87.0
Jeffrey Atkinson,male,group E,some college,standard,none,193.0,124.0,156.0
Jeffrey Korn,male,group C,high school,standard,none,,142.0,196.0
Vanessa Barker,female,group C,bachelor's degree,free/reduced,none,193.0,142.0,188.0
Anastasia Starks,female,group B,high school,free/reduced,completed,67.0,78.0,79.0
Richard French,male,group B,some college,free/reduced,none,142.0,193.0,124.0
Dolores Sprinkle,female,group C,bachelor's degree,standard,none,67.0,69.0,75.0
Howard Mason,male,group C,some college,standard,completed,166.0,147.0,171.0
Jeremy Smith,male,group D,some high school,standard,completed,74.0,71.0,78.0
Rachel Kirkpatrick,female,group D,some college,free/reduced,none,188.0,193.0,193.0
Stella Stephens,female,group D,master's degree,standard,none,74.0,79.0,82.0
Paul Hyder,male,group D,master's degree,standard,none,95.0,81.0,84.0
Eric Nunes,male,group C,bachelor's degree,standard,completed,71.0,74.0,68.0
Earl Sather,male,group B,some college,standard,none,193.0,193.0,196.0
Mark Oconnor,male,group B,some high school,standard,completed,85.0,84.0,78.0
Marjorie Brown,female,group B,high school,standard,none,193.0,193.0,142.0
Elizabeth Blanks,female,group A,associate's degree,free/reduced,none,124.0,124.0,193.0
Susan Cook,female,group C,associate's degree,free/reduced,completed,131.0,166.0,166.0
Richard Bratcher,male,group E,bachelor's degree,free/reduced,completed,188.0,193.0,156.0
Jason Keck,male,group A,some college,free/reduced,completed,142.0,142.0,142.0
Nicole Osuna,female,group C,associate's degree,standard,completed,196.0,,156.0
Emory Kelley,male,group D,some high school,free/reduced,none,56.0,54.0,52.0
Michael Leta,male,group E,bachelor's degree,standard,none,82.0,62.0,62.0
Dana Sanders,female,group A,some college,standard,none,124.0,,142.0
Lorraine Carter,female,group C,associate's degree,standard,none,85.0,84.0,82.0
Maria Caballero,female,group C,high school,standard,completed,60.0,64.0,74.0
Velma Chatcho,female,group E,some college,standard,completed,63.0,72.0,70.0
Phillip Marin,male,group C,some high school,standard,none,51.0,52.0,44.0
Rosa Redding,female,group B,some college,standard,completed,50.0,64.0,66.0
Richard Brasure,male,group D,associate's degree,free/reduced,none,81.0,75.0,78.0
Dana Grooms,female,group D,associate's degree,standard,none,64.0,193.0,193.0
Wanda Hardin,female,group E,some college,standard,none,87.0,85.0,93.0
Jerome Lopze,male,group E,associate's degree,free/reduced,completed,46.0,43.0,44.0
Arlene Trotter,female,group B,high school,standard,none,58.0,68.0,61.0
Christopher Wall,male,group C,high school,free/reduced,none,62.0,55.0,55.0
Patricia Mcclurg,female,group D,some high school,standard,none,76.0,72.0,71.0
Rosemary Oliveros,female,group C,high school,standard,none,60.0,68.0,72.0
Cameron Estrada,male,group D,some high school,standard,none,193.0,,
Shannon Weaver,male,group D,bachelor's degree,free/reduced,none,50.0,42.0,48.0
Jose Bagley,male,group B,some college,standard,none,124.0,124.0,174.0
Chris Chauncey,male,group D,high school,free/reduced,none,193.0,196.0,193.0
Maria Caballero,female,group C,high school,standard,completed,142.0,64.0,193.0
Patricia Spiller,female,group D,associate's degree,free/reduced,completed,77.0,89.0,98.0
Joanna Gardner,female,group C,bachelor's degree,standard,none,124.0,188.0,142.0
Andrew Bussell,male,group A,some high school,standard,none,64.0,50.0,43.0
Edward Sullivan,male,group D,some high school,standard,none,,,193.0
Jackie Moons,female,group B,some college,free/reduced,none,61.0,68.0,66.0
Edward Fields,male,group D,some high school,standard,none,60.0,59.0,54.0
Katharine Kellum,female,group B,high school,free/reduced,none,193.0,142.0,
Robert Byrd,male,group C,master's degree,standard,none,67.0,57.0,59.0
Josephine Hall,female,group B,high school,free/reduced,none,64.0,73.0,71.0
Maria Rodriguez,female,group D,some high school,standard,none,193.0,193.0,124.0
Carole Rehrig,female,group E,high school,free/reduced,none,196.0,193.0,196.0
Larry Maldonado,male,group E,master's degree,standard,none,90.0,85.0,84.0
Nicole Osuna,female,group C,associate's degree,standard,completed,59.0,73.0,72.0
Mark Spicer,male,group E,associate's degree,standard,none,53.0,45.0,40.0
Janet Hamer,female,group B,some college,free/reduced,completed,48.0,56.0,58.0
Lavon Ohanesian,female,group A,high school,standard,completed,193.0,193.0,193.0
Anthony Malcomb,male,group C,some college,free/reduced,none,35.0,28.0,27.0
Virginia Blubaugh,female,group B,some high school,standard,completed,60.0,70.0,70.0
Nicole Nesbitt,female,group C,some college,standard,none,82.0,90.0,94.0
Martha Ball,female,group C,some college,standard,none,58.0,67.0,72.0
Rebecca Hammond,female,group C,associate's degree,free/reduced,none,60.0,75.0,74.0
Chris Spitler,male,group C,some college,standard,none,66.0,59.0,52.0
Anna Lauterbach,female,group C,associate's degree,standard,none,,193.0,
Ann Polston,female,group D,master's degree,free/reduced,completed,85.0,95.0,100.0
David Delorenzo,male,group C,some college,standard,none,124.0,193.0,42.0
Lynn Hovey,female,group B,associate's degree,standard,none,49.0,52.0,54.0
Shannon Bale,male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0
Theresa White,female,group E,some college,standard,none,67.0,76.0,75.0
Doris Bridgewater,female,group D,some college,standard,completed,69.0,79.0,81.0
Richard Pina,male,group D,master's degree,standard,none,131.0,131.0,193.0
Robin Ahmed,female,group C,bachelor's degree,free/reduced,none,50.0,60.0,59.0
Andrew Baker,male,group E,associate's degree,standard,completed,62.0,56.0,53.0
Jessica Salas,female,group C,associate's degree,standard,completed,83.0,85.0,90.0
Christopher Barnett,male,group D,associate's degree,standard,none,81.0,71.0,73.0
Tosha Benson,female,group E,bachelor's degree,free/reduced,completed,92.0,100.0,100.0
Jeffrey Korn,male,group C,high school,standard,none,70.0,56.0,51.0
Jody Pond,female,group A,some college,standard,completed,72.0,79.0,82.0
Agatha Bergman,female,group D,master's degree,standard,none,92.0,100.0,100.0
Cynthia Weir,female,group D,some high school,standard,none,51.0,63.0,61.0
Helen Mcatee,female,group C,some college,standard,none,156.0,156.0,124.0
Kenneth Pyles,male,group C,associate's degree,free/reduced,none,87.0,73.0,72.0
Maude Greco,female,group E,some college,standard,none,71.0,70.0,76.0
Luis Lichty,male,group A,high school,standard,none,59.0,52.0,46.0
Jodi Wright,female,group B,associate's degree,free/reduced,none,193.0,193.0,
Andrew Bledsoe,male,group E,some college,standard,completed,124.0,142.0,193.0
Melanie Acevedo,female,group E,master's degree,standard,completed,88.0,99.0,95.0
Geneva Arnold,female,group E,some college,standard,none,61.0,64.0,62.0
Jeff Pickett,male,group E,associate's degree,standard,none,193.0,193.0,193.0
Gloria Gambrell,female,group A,associate's degree,standard,none,82.0,93.0,93.0
Dawn Cummings,female,group C,associate's degree,standard,none,193.0,193.0,196.0
Thomas Hochmuth,male,group D,some high school,standard,completed,71.0,69.0,68.0
Amanda Terrell,female,group A,high school,standard,completed,75.0,82.0,79.0
Martha Sova,female,group C,some high school,free/reduced,none,43.0,53.0,53.0
Darrell Xiong,male,group D,high school,free/reduced,none,142.0,193.0,
Brenna Pate,female,group A,bachelor's degree,standard,none,51.0,49.0,51.0
William Pool,male,group C,high school,standard,none,62.0,55.0,49.0
Rachele Hammer,female,group C,some college,standard,completed,75.0,81.0,84.0
John Suh,male,group D,some college,standard,completed,63.0,55.0,63.0
Richard Yoakum,male,group D,some high school,free/reduced,completed,174.0,196.0,196.0
Amber Hicks,female,group B,associate's degree,standard,none,71.0,83.0,78.0
Fannie Hindman,female,group D,high school,standard,none,67.0,72.0,74.0
Sue Gorman,female,group A,some high school,standard,none,71.0,83.0,77.0
John Gonzales,male,group B,some high school,standard,completed,61.0,56.0,56.0
Ira Mercer,male,group C,some high school,free/reduced,completed,56.0,61.0,60.0
James Stanley,male,group C,some college,standard,completed,98.0,86.0,90.0
Rolando Widmer,male,group C,high school,standard,completed,82.0,84.0,82.0
Christine Cruson,female,group C,high school,standard,none,75.0,88.0,85.0
Geraldine Gamboa,female,group C,some college,free/reduced,none,59.0,62.0,64.0
William Ng,male,group C,some high school,standard,none,193.0,64.0,174.0
Leon Patton,male,group B,some college,standard,completed,71.0,75.0,70.0
Rosa Clagon,female,group A,some high school,free/reduced,none,44.0,45.0,45.0
Christian Marshall,male,group D,some high school,standard,completed,77.0,68.0,69.0
Jennie Blackwood,female,group C,associate's degree,standard,none,65.0,76.0,76.0
Derrick Wadsworth,male,group C,some college,standard,none,196.0,142.0,193.0
Paul Ellis,male,group B,high school,standard,none,57.0,48.0,51.0
Mitchell Eguia,male,group B,some college,free/reduced,none,60.0,60.0,60.0
Eugene Jewett,male,group C,high school,free/reduced,none,27.0,34.0,36.0
Travis Burkey,male,group B,some college,standard,none,58.0,50.0,45.0
Bernard Gilmore,male,group E,bachelor's degree,standard,completed,70.0,64.0,70.0
Emma Fussell,female,group A,some high school,free/reduced,none,38.0,43.0,43.0
Pamela Scott,female,group C,some college,free/reduced,completed,42.0,66.0,69.0
Olivia Papp,female,group E,some college,standard,none,100.0,92.0,97.0
Joann Liesmann,female,group E,some college,standard,none,193.0,142.0,193.0
Thomas Kent,male,group E,associate's degree,standard,none,89.0,76.0,74.0
Christina Cullins,female,group C,some college,free/reduced,none,35.0,44.0,43.0
Ella Russell,female,group B,high school,standard,none,74.0,72.0,72.0
Isaac Pagan,male,group D,some college,standard,completed,77.0,62.0,62.0
Tracy Varley,female,group D,high school,standard,none,62.0,64.0,64.0
George Howard,male,group A,associate's degree,free/reduced,completed,79.0,82.0,82.0
Shirley Orphey,female,group C,high school,free/reduced,none,124.0,156.0,64.0
Jorge Apana,male,group A,some high school,standard,completed,46.0,41.0,43.0
Richard Roderick,male,group E,some high school,standard,completed,74.0,64.0,60.0
Richard Jennings,male,group A,some college,standard,completed,196.0,124.0,193.0
Louise Romero,female,group D,associate's degree,standard,none,59.0,70.0,65.0
Theodore Sims,male,group B,high school,free/reduced,none,66.0,77.0,70.0
Dennis Flowers,male,group A,high school,free/reduced,none,124.0,193.0,193.0
Arthur Johnson,male,group C,associate's degree,standard,none,47.0,37.0,35.0
Morris Mcfaddin,male,group A,some college,free/reduced,none,142.0,142.0,193.0
Renee Worley,female,group D,some college,standard,none,77.0,68.0,77.0
James Verhaag,male,group D,high school,free/reduced,completed,78.0,77.0,80.0
Jonathan Moser,male,group B,high school,standard,none,52.0,48.0,49.0
Susan Palmo,female,group C,some college,free/reduced,completed,,,124.0
Leann Widrick,female,group D,master's degree,standard,completed,70.0,71.0,74.0
Patricia Mcclurg,female,group D,some high school,standard,none,193.0,156.0,124.0
Kenneth Armendariz,male,group B,associate's degree,free/reduced,completed,58.0,57.0,53.0
Walter Simmons,male,group C,bachelor's degree,free/reduced,none,193.0,142.0,
Lance Santana,male,group B,some high school,standard,none,68.0,54.0,53.0
Carol Salinas,female,group D,high school,standard,none,69.0,72.0,77.0
Eleanor Bond,female,group E,associate's degree,standard,none,87.0,94.0,95.0
Micheal Thompson,male,group C,high school,standard,none,52.0,53.0,49.0
Anne Scheer,female,group C,high school,standard,none,72.0,80.0,75.0
Sheila Carboni,female,group C,associate's degree,standard,none,85.0,89.0,95.0
Jerry Douglas,male,group A,some high school,standard,none,196.0,133.0,36.0
Michael Gore,male,group B,some college,free/reduced,none,41.0,39.0,34.0
Doris Sandiford,female,group D,master's degree,free/reduced,completed,61.0,71.0,78.0
Ashley Bradburn,female,group B,some high school,standard,none,67.0,89.0,82.0
Catalina Brooks,female,group C,some college,standard,none,54.0,48.0,52.0
Morris Mcfaddin,male,group A,some college,free/reduced,none,75.0,81.0,74.0
Cynthia Sisk,female,group D,some college,standard,none,80.0,90.0,89.0
Richard Bacon,male,group C,some college,standard,none,63.0,63.0,60.0
Jennifer Phillips,female,group C,some college,standard,none,52.0,58.0,58.0
Andrew Butler,male,group B,high school,standard,none,62.0,55.0,54.0
Richard Stackhouse,male,group A,some college,free/reduced,none,58.0,60.0,57.0
Irma Shedd,female,group B,some college,standard,none,62.0,67.0,67.0
Albert Duran,male,group D,some college,standard,completed,65.0,77.0,74.0
Gloria Ocasio,female,group D,associate's degree,free/reduced,completed,74.0,88.0,90.0
Patricia Mcninch,female,group C,bachelor's degree,free/reduced,none,182.0,193.0,193.0
Elizabeth Crain,female,group E,master's degree,free/reduced,none,142.0,193.0,124.0
Jesus Kling,male,group B,some college,free/reduced,none,142.0,151.0,34.0
Franklin Hawkins,male,group D,some college,standard,none,79.0,73.0,67.0
Marvin Cooper,male,group C,associate's degree,free/reduced,none,49.0,196.0,196.0
Joshua Davis,male,group C,some college,free/reduced,none,68.0,68.0,61.0
Willie Nicholson,female,group D,some college,free/reduced,completed,63.0,80.0,80.0
Evelyn Galligan,female,group B,master's degree,free/reduced,completed,52.0,70.0,62.0
Jonathan Calcote,male,group D,some high school,free/reduced,none,59.0,42.0,41.0
Michael Mcdonnell,male,group D,some high school,standard,none,55.0,47.0,44.0
David Moya,male,group B,bachelor's degree,standard,none,66.0,60.0,57.0
Donna Medlin,female,group B,high school,free/reduced,none,38.0,60.0,50.0
Anthony Latouche,male,group B,bachelor's degree,free/reduced,none,193.0,196.0,193.0
William Saska,male,group B,associate's degree,standard,none,193.0,42.0,142.0
Brandi Fisher,female,group E,high school,standard,none,74.0,76.0,73.0
Patricia Harrell,female,group C,associate's degree,standard,none,91.0,86.0,84.0
Nancy Mabery,female,group C,associate's degree,standard,none,64.0,64.0,70.0
Kathleen Taylor,female,group C,associate's degree,free/reduced,completed,142.0,193.0,
Steven Jackson,male,group B,some high school,standard,none,74.0,63.0,57.0
Jack Ybanez,male,group D,high school,free/reduced,none,142.0,196.0,196.0
Phillip Powell,male,group E,some college,standard,completed,81.0,74.0,71.0
Kevin Ibrahim,male,group A,some high school,free/reduced,none,79.0,82.0,73.0
Peter Gillen,male,group D,associate's degree,free/reduced,none,142.0,,
David Hooker,male,group B,associate's degree,standard,none,90.0,78.0,81.0
Ronald Niles,male,group A,bachelor's degree,standard,completed,142.0,193.0,193.0
Isaac Frazier,male,group C,associate's degree,standard,none,124.0,193.0,124.0
David Moya,male,group B,bachelor's degree,standard,none,,142.0,196.0
Barbara Barahona,female,group C,associate's degree,free/reduced,none,54.0,58.0,61.0
Eileen Hardin,female,group D,bachelor's degree,standard,none,78.0,82.0,79.0
Donald Greenberg,male,group C,associate's degree,standard,none,46.0,43.0,42.0
Lesley Cross,female,group D,high school,free/reduced,completed,193.0,196.0,142.0
Julie Smith,female,group D,associate's degree,standard,completed,88.0,92.0,95.0
Kristie Mccarthy,female,group C,some college,free/reduced,none,62.0,67.0,62.0
Samuel Low,male,group D,some college,standard,none,193.0,196.0,193.0
Karen Wagaman,female,group B,associate's degree,standard,none,80.0,86.0,83.0
Janice French,female,group D,some college,free/reduced,none,124.0,124.0,193.0
Pura Ross,female,group C,associate's degree,standard,none,142.0,193.0,188.0
William Gambino,male,group D,associate's degree,standard,none,80.0,63.0,63.0
Alan Sigmon,male,group C,high school,standard,none,71.0,79.0,71.0
Amanda Barker,female,group C,some college,free/reduced,completed,64.0,85.0,85.0
Marie Crate,female,group E,high school,standard,none,75.0,86.0,79.0
Maritza Kielbasa,female,group C,some college,standard,none,60.0,72.0,74.0
John Schoolfield,male,group C,high school,standard,none,68.0,60.0,53.0
John Ponce,male,group B,bachelor's degree,free/reduced,none,88.0,75.0,76.0
Robert Strain,male,group C,associate's degree,free/reduced,none,55.0,61.0,54.0
Alexis Rosenberg,female,group C,some high school,free/reduced,completed,50.0,60.0,60.0
Jimmy Jones,male,group B,associate's degree,free/reduced,completed,124.0,,
Joseph Sisk,male,group C,associate's degree,standard,none,97.0,166.0,196.0
Frances Johnson,female,group D,associate's degree,free/reduced,completed,42.0,61.0,58.0
Linda Crowder,female,group C,some college,standard,none,,193.0,142.0
Zachary Glenn,male,group E,some college,standard,completed,188.0,124.0,142.0
Robert Dickerson,male,group E,some college,free/reduced,completed,49.0,193.0,196.0
Cynthia Mandeville,female,group C,some high school,standard,none,69.0,75.0,78.0
Lisa Watters,female,group D,master's degree,free/reduced,none,40.0,196.0,124.0
Mark Marable,male,group D,bachelor's degree,standard,none,122.0,142.0,128.0
Ronald Jett,male,group D,high school,free/reduced,none,42.0,39.0,34.0
Victoria Johnson,female,group E,high school,standard,completed,196.0,,142.0
Kari Roth,female,group C,high school,standard,completed,58.0,75.0,77.0
Hazel Posey,female,group B,some high school,free/reduced,none,24.0,38.0,27.0
Anthony Latouche,male,group B,bachelor's degree,free/reduced,none,48.0,51.0,46.0
Mindi Cruz,female,group C,some college,standard,none,124.0,193.0,142.0
Audrey Head,female,group C,associate's degree,standard,completed,67.0,84.0,86.0
Jennifer Tucker,female,group E,associate's degree,standard,none,59.0,62.0,69.0
Lawanda Wernimont,female,group D,some college,standard,completed,193.0,142.0,193.0
Patrick Watson,male,group D,some college,free/reduced,none,59.0,62.0,61.0
Loretta Velez,female,group C,associate's degree,standard,completed,96.0,96.0,99.0
Eric Baldwin,male,group A,high school,free/reduced,none,45.0,47.0,49.0
Danny Goodyear,male,group B,some college,standard,completed,88.0,85.0,76.0
Louis Christopher,male,group A,high school,free/reduced,completed,72.0,67.0,65.0
George Wallin,male,group E,some college,free/reduced,none,166.0,171.0,128.0
Robert Twitty,male,group C,master's degree,free/reduced,none,61.0,67.0,66.0
James Aguirre,male,group E,high school,standard,completed,81.0,80.0,76.0
Brian Langston,male,group C,high school,free/reduced,none,59.0,53.0,52.0
Linda Crowder,female,group C,some college,standard,none,73.0,76.0,78.0
James Deluca,male,group D,bachelor's degree,standard,none,193.0,,156.0
Cody Garcia,male,group B,some high school,standard,completed,79.0,85.0,86.0
Judy Helmer,female,group D,bachelor's degree,standard,completed,68.0,75.0,81.0
Claire Wallick,female,group C,high school,standard,completed,193.0,142.0,193.0
Dana Smith,female,group C,bachelor's degree,free/reduced,completed,47.0,62.0,66.0
Juanita Ullrich,female,group D,associate's degree,standard,none,124.0,196.0,193.0
Linda Lamp,female,group C,some high school,free/reduced,completed,64.0,79.0,77.0
Cheryl Patel,female,group B,some high school,free/reduced,none,49.0,58.0,55.0
Kenneth Salmons,male,group D,high school,standard,none,124.0,193.0,193.0
Alyssa Mcgee,female,group D,master's degree,standard,none,54.0,60.0,63.0
Kathleen Hernandez,female,group C,some college,standard,completed,71.0,71.0,80.0
Emmanuel Weeks,male,group D,some college,standard,completed,,174.0,
John Lambert,male,group B,high school,standard,none,59.0,58.0,47.0
Edmond Lerner,male,group D,high school,standard,none,89.0,87.0,79.0
Theresa Visvardis,female,group E,bachelor's degree,standard,none,37.0,45.0,38.0
Sarah Adu,female,group A,some high school,standard,completed,59.0,85.0,80.0
Heather Cunningham,female,group C,some college,standard,none,,193.0,193.0
Mandy Bays,female,group E,high school,free/reduced,none,57.0,58.0,57.0
James Johnson,male,group B,some college,standard,none,47.0,43.0,41.0
Charles Hopson,male,group C,associate's degree,free/reduced,none,77.0,67.0,64.0
Christian Hill,male,group C,master's degree,free/reduced,completed,62.0,68.0,75.0
George Estrada,male,group A,bachelor's degree,standard,none,77.0,67.0,68.0
Miranda Domingo,female,group D,some college,standard,none,51.0,58.0,54.0
Francisco Johnson,male,group B,associate's degree,standard,completed,131.0,147.0,142.0
Riley Cambell,male,group B,some college,standard,completed,69.0,77.0,77.0
Brian Geraldo,male,group D,bachelor's degree,free/reduced,completed,74.0,71.0,80.0
Christopher Thornburg,male,group D,some college,standard,none,60.0,63.0,59.0
Arnold Dodson,male,group C,some college,standard,none,76.0,78.0,75.0
Thomas Ronzoni,male,group C,associate's degree,standard,completed,51.0,60.0,58.0
Rosalia Arrants,female,group E,some high school,free/reduced,none,32.0,34.0,38.0
Michelle Ingram,female,group E,some college,free/reduced,none,124.0,193.0,196.0
Stella Stephens,female,group D,master's degree,standard,none,193.0,188.0,131.0
Maureen Robins,female,group C,master's degree,standard,none,73.0,78.0,74.0
Carolyn Webley,female,group D,high school,free/reduced,none,49.0,57.0,52.0
Jon Norris,male,group E,bachelor's degree,standard,completed,76.0,62.0,66.0
Sharon Rohrs,female,group C,associate's degree,standard,completed,193.0,142.0,
Virginia Thompson,female,group D,associate's degree,standard,none,64.0,76.0,74.0
William Ng,male,group C,some high school,standard,none,62.0,64.0,55.0
Deborah Clark,female,group B,some high school,free/reduced,completed,63.0,78.0,79.0
Patricia Stuemke,female,group B,bachelor's degree,standard,none,156.0,156.0,193.0
Samantha Devore,female,group B,high school,standard,none,50.0,53.0,55.0
Shirley Ybanez,female,group C,some high school,standard,completed,44.0,51.0,55.0
Walter Mata,male,group D,associate's degree,free/reduced,none,66.0,62.0,64.0
Coleen Stough,female,group C,associate's degree,standard,completed,67.0,84.0,81.0
Leona Markow,female,group A,some college,standard,none,142.0,193.0,64.0
Maritza Kielbasa,female,group C,some college,standard,none,142.0,156.0,193.0
Victor Turner,male,group C,high school,free/reduced,none,61.0,60.0,55.0
Ronald Niles,male,group A,bachelor's degree,standard,completed,75.0,58.0,62.0
Oscar Roccio,male,group E,some college,standard,completed,147.0,128.0,142.0
Audrey Shorey,female,group A,some college,standard,none,69.0,84.0,82.0
Carolina White,female,group C,high school,standard,none,76.0,76.0,74.0
Jose Wheeler,male,group C,associate's degree,free/reduced,completed,65.0,73.0,68.0
Sharon Roberts,female,group C,high school,free/reduced,none,53.0,72.0,64.0
Anthony Pedigo,male,group B,bachelor's degree,free/reduced,completed,87.0,90.0,88.0
Lucy Thompson,female,group B,some college,free/reduced,completed,53.0,66.0,73.0
Heather Campos,female,group B,some high school,free/reduced,completed,,142.0,188.0
Sonya Porter,female,group C,bachelor's degree,free/reduced,completed,66.0,83.0,83.0
James Hood,male,group C,some high school,free/reduced,completed,196.0,193.0,49.0
Shirley Wilson,female,group A,some college,free/reduced,none,49.0,65.0,55.0
Collette Williams,female,group C,some high school,standard,completed,67.0,74.0,77.0
Shawn Frank,female,group C,associate's degree,standard,completed,55.0,72.0,79.0
Richard Guercio,male,group B,high school,free/reduced,none,30.0,24.0,15.0
Eileen Gray,female,group D,high school,free/reduced,none,73.0,92.0,84.0
Roberta Fravel,female,group B,high school,standard,none,62.0,62.0,63.0
Charles Irizarry,male,group B,high school,standard,none,79.0,60.0,65.0
Jerome Riddle,male,group D,high school,free/reduced,none,63.0,57.0,56.0
Kimberly Routzahn,female,group C,master's degree,free/reduced,none,52.0,65.0,61.0
Ana Wai,female,group C,bachelor's degree,standard,none,193.0,193.0,124.0
Joyce Thornton,female,group B,master's degree,free/reduced,completed,58.0,76.0,78.0
Barbara Barahona,female,group C,associate's degree,free/reduced,none,124.0,193.0,193.0
Frank Barrera,male,group C,high school,standard,none,142.0,142.0,124.0
Bobby Lloyd,male,group C,some college,standard,none,193.0,49.0,42.0
Maria Murphy,female,group D,bachelor's degree,free/reduced,none,78.0,90.0,93.0
